"","id","label","type","color"
"1","Hispanic or Latino","Hispanic or Latino","anx","#BF003F"
"2","Non-Hispanic Asian","Non-Hispanic Asian","anx","#0000FF"
"3","Non-Hispanic Black","Non-Hispanic Black","anx","#3F00BF"
"4","Non-Hispanic Other/Multiple Races","Non-Hispanic Other/Multiple Races","anx","#FF0000"
"5","Non-Hispanic White","Non-Hispanic White","anx","#FF0000"
