"","id","label","type","color"
"1","Hispanic or Latino","Hispanic or Latino","presc","#3F00BF"
"2","Non-Hispanic Asian","Non-Hispanic Asian","presc","#0000FF"
"3","Non-Hispanic Black","Non-Hispanic Black","presc","#0000FF"
"4","Non-Hispanic Other/Multiple Races","Non-Hispanic Other/Multiple Races","presc","#BF003F"
"5","Non-Hispanic White","Non-Hispanic White","presc","#FF0000"
