"","id","label","type","color"
"1","Hispanic or Latino","Hispanic or Latino","no_a","#BF003F"
"2","Non-Hispanic Asian","Non-Hispanic Asian","no_a","#0000FF"
"3","Non-Hispanic Black","Non-Hispanic Black","no_a","#3F00BF"
"4","Non-Hispanic Other/Multiple Races","Non-Hispanic Other/Multiple Races","no_a","#FF0000"
"5","Non-Hispanic White","Non-Hispanic White","no_a","#BF003F"
