"","id","label","type","color"
"1","Hispanic or Latino","Hispanic or Latino","hc","#0000FF"
"2","Non-Hispanic Asian","Non-Hispanic Asian","hc","#FF0000"
"3","Non-Hispanic Black","Non-Hispanic Black","hc","#0000FF"
"4","Non-Hispanic Other/Multiple Races","Non-Hispanic Other/Multiple Races","hc","#FF0000"
"5","Non-Hispanic White","Non-Hispanic White","hc","#FF0000"
