"","state_one","state_two","stay_at_home_orders_overLap"
"284","CT","IA",43
"285","CT","ID",166
"286","CT","IL",6
"287","CT","IN",9
"288","CT","KS",235
"289","CT","KY",10
"290","CT","LA",8
"291","CT","MA",65
"292","CT","MD",248
"293","CT","ME",18
"294","CT","MI",223
"295","CT","MN",12
"296","CT","MO",221
"297","CT","MS",112
"298","CT","MT",55
"299","CT","NC",15
"300","CT","ND",292
"301","CT","NE",292
"302","CT","NH",12
"303","CT","NJ",212
"304","CT","NM",1
"305","CT","NV",16
"306","CT","NY",7
"307","CT","OH",8
"308","CT","OK",69
"309","CT","OR",37
"310","CT","PA",209
"311","CT","RI",13
"312","CT","SC",175
"313","CT","SD",222
"314","CT","TN",109
"315","CT","TX",18
"316","CT","UT",257
"317","CT","VA",246
"318","CT","VT",9
"319","CT","WA",8
"320","CT","WI",191
"321","CT","WV",9
"322","CT","WY",292
"323","DE","FL",225
"324","DE","GA",33
"325","DE","HI",180
"326","DE","IA",132
"327","DE","ID",155
"328","DE","IL",181
"329","DE","IN",173
"330","DE","KS",149
"331","DE","KY",132
"332","DE","LA",183
"333","DE","MA",152
"334","DE","MD",154
"335","DE","ME",178
"336","DE","MI",168
"337","DE","MN",183
"338","DE","MO",163
"339","DE","MS",213
"340","DE","MT",167
"341","DE","NC",185
"342","DE","ND",110
"343","DE","NE",110
"344","DE","NH",184
"345","DE","NJ",166
"346","DE","NM",124
"347","DE","NV",171
"348","DE","NY",7
"349","DE","OH",183
"350","DE","OK",76
"351","DE","OR",176
"352","DE","PA",144
"353","DE","RI",174
"354","DE","SC",209
"355","DE","SD",119
"356","DE","TN",214
"357","DE","TX",132
"358","DE","UT",110
"359","DE","VA",156
"360","DE","VT",184
"361","DE","WA",175
"362","DE","WI",143
"363","DE","WV",173
"364","DE","WY",110
"365","FL","GA",33
"366","FL","HI",157
"367","FL","IA",154
"368","FL","ID",126
"369","FL","IL",156
"370","FL","IN",184
"371","FL","KS",161
"372","FL","KY",163
"373","FL","LA",172
"374","FL","MA",218
"375","FL","MD",139
"376","FL","ME",171
"377","FL","MI",138
"378","FL","MN",172
"379","FL","MO",179
"380","FL","MS",271
"381","FL","MT",219
"382","FL","NC",167
"383","FL","ND",108
"384","FL","NE",108
"385","FL","NH",171
"386","FL","NJ",135
"387","FL","NM",154
"388","FL","NV",180
"389","FL","NY",7
"390","FL","OH",172
"391","FL","OK",67
"392","FL","OR",201
"393","FL","PA",100
"394","FL","RI",180
"395","FL","SC",225
"396","FL","SD",143
"397","FL","TN",273
"398","FL","TX",155
"399","FL","UT",115
"400","FL","VA",139
"401","FL","VT",173
"402","FL","WA",164
"403","FL","WI",87
"404","FL","WV",184
"405","FL","WY",108
"406","GA","HI",33
"407","GA","IA",12
"408","GA","ID",33
"409","GA","IL",30
"410","GA","IN",33
"411","GA","KS",33
"412","GA","KY",12
"413","GA","LA",32
"414","GA","MA",12
"415","GA","MD",33
"416","GA","ME",33
"417","GA","MI",44
"418","GA","MN",33
"419","GA","MO",30
"420","GA","MS",36
"421","GA","MT",35
"422","GA","NC",33
"423","GA","ND",9
"424","GA","NE",9
"425","GA","NH",33
"426","GA","NJ",30
"427","GA","NM",4
"428","GA","NV",33
"429","GA","NY",263
"430","GA","OH",32
"431","GA","OK",49
"432","GA","OR",32
"433","GA","PA",40
"434","GA","RI",33
"435","GA","SC",29
"436","GA","SD",11
"437","GA","TN",36
"438","GA","TX",12
"439","GA","UT",12
"440","GA","VA",33
"441","GA","VT",33
"442","GA","WA",47
"443","GA","WI",33
"444","GA","WV",33
"445","GA","WY",9
"446","HI","IA",224
"447","HI","ID",105
"448","HI","IL",285
"449","HI","IN",263
"450","HI","KS",45
"451","HI","KY",224
"452","HI","LA",273
"453","HI","MA",167
"454","HI","MD",54
"455","HI","ME",270
"456","HI","MI",66
"457","HI","MN",275
"458","HI","MO",53
"459","HI","MS",155
"460","HI","MT",211
"461","HI","NC",277
"462","HI","ND",10
"463","HI","NE",10
"464","HI","NH",276
"465","HI","NJ",74
"466","HI","NM",215
"467","HI","NV",263
"468","HI","NY",7
"469","HI","OH",273
"470","HI","OK",163
"471","HI","OR",244
"472","HI","PA",86
"473","HI","RI",266
"474","HI","SC",99
"475","HI","SD",8
"476","HI","TN",156
"477","HI","TX",224
"478","HI","UT",10
"479","HI","VA",56
"480","HI","VT",274
"481","HI","WA",266
"482","HI","WI",111
"483","HI","WV",263
"484","HI","WY",10
"485","IA","ID",99
"486","IA","IL",223
"487","IA","IN",251
"488","IA","KS",37
"489","IA","KY",259
"490","IA","LA",239
"491","IA","MA",202
"492","IA","MD",15
"493","IA","ME",246
"494","IA","MI",9
"495","IA","MN",241
"496","IA","MO",65
"497","IA","MS",175
"498","IA","MT",220
"499","IA","NC",239
"500","IA","ND",43
"501","IA","NE",43
"502","IA","NH",240
"503","IA","NJ",6
"504","IA","NM",250
"505","IA","NV",253
"506","IA","NY",7
"507","IA","OH",239
"508","IA","OK",165
"509","IA","OR",210
"510","IA","PA",56
"511","IA","RI",250
"512","IA","SC",113
"513","IA","SD",43
"514","IA","TN",172
"515","IA","TX",267
"516","IA","UT",16
"517","IA","VA",15
"518","IA","VT",240
"519","IA","WA",231
"520","IA","WI",62
"521","IA","WV",251
"522","IA","WY",43
"523","ID","IL",104
"524","ID","IN",132
"525","ID","KS",220
"526","ID","KY",99
"527","ID","LA",120
"528","ID","MA",58
"529","ID","MD",198
"530","ID","ME",111
"531","ID","MI",202
"532","ID","MN",118
"533","ID","MO",224
"534","ID","MS",120
"535","ID","MT",86
"536","ID","NC",110
"537","ID","ND",166
"538","ID","NE",166
"539","ID","NH",117
"540","ID","NJ",199
"541","ID","NM",90
"542","ID","NV",122
"543","ID","NY",7
"544","ID","OH",120
"545","ID","OK",129
"546","ID","OR",91
"547","ID","PA",235
"548","ID","RI",125
"549","ID","SC",176
"550","ID","SD",195
"551","ID","TN",121
"552","ID","TX",99
"553","ID","UT",166
"554","ID","VA",198
"555","ID","VT",121
"556","ID","WA",112
