"","from","to","bars_overLap","width","title"
"118","AR","MO",68,0.68,"68 days shared in 2020"
"119","AR","MS",275,2.75,"275 days shared in 2020"
"120","AR","MT",270,2.7,"270 days shared in 2020"
"121","AR","NC",93,0.93,"93 days shared in 2020"
"122","AR","ND",93,0.93,"93 days shared in 2020"
"123","AR","NE",229,2.29,"229 days shared in 2020"
"124","AR","NH",268,2.68,"268 days shared in 2020"
"125","AR","NJ",271,2.71,"271 days shared in 2020"
"126","AR","NM",68,0.68,"68 days shared in 2020"
"127","AR","NV",233,2.33,"233 days shared in 2020"
"128","AR","NY",277,2.77,"277 days shared in 2020"
"129","AR","OH",276,2.76,"276 days shared in 2020"
"130","AR","OK",276,2.76,"276 days shared in 2020"
"131","AR","OR",263,2.63,"263 days shared in 2020"
"132","AR","PA",112,1.12,"112 days shared in 2020"
"133","AR","RI",272,2.72,"272 days shared in 2020"
"134","AR","SC",268,2.68,"268 days shared in 2020"
"135","AR","SD",5,0.05,"5 days shared in 2020"
"136","AR","TN",283,2.83,"283 days shared in 2020"
"137","AR","TX",178,1.78,"178 days shared in 2020"
"138","AR","UT",265,2.65,"265 days shared in 2020"
"139","AR","VA",277,2.77,"277 days shared in 2020"
"140","AR","VT",235,2.35,"235 days shared in 2020"
"141","AR","WA",221,2.21,"221 days shared in 2020"
"142","AR","WI",55,0.55,"55 days shared in 2020"
"143","AR","WV",227,2.27,"227 days shared in 2020"
"144","AR","WY",280,2.8,"280 days shared in 2020"
"145","AZ","CA",260,2.6,"260 days shared in 2020"
"146","AZ","CO",92,0.92,"92 days shared in 2020"
"147","AZ","CT",1,0.01,"1 days shared in 2020"
"148","AZ","DE",64,0.64,"64 days shared in 2020"
"149","AZ","FL",159,1.59,"159 days shared in 2020"
"150","AZ","GA",5,0.05,"5 days shared in 2020"
"151","AZ","HI",2,0.02,"2 days shared in 2020"
"152","AZ","IA",71,0.71,"71 days shared in 2020"
"153","AZ","ID",5,0.05,"5 days shared in 2020"
"154","AZ","IL",71,0.71,"71 days shared in 2020"
"155","AZ","IN",85,0.85,"85 days shared in 2020"
"156","AZ","KS",59,0.59,"59 days shared in 2020"
"157","AZ","KY",102,1.02,"102 days shared in 2020"
"158","AZ","LA",104,1.04,"104 days shared in 2020"
"159","AZ","MA",5,0.05,"5 days shared in 2020"
"160","AZ","MD",76,0.76,"76 days shared in 2020"
"161","AZ","ME",87,0.87,"87 days shared in 2020"
"162","AZ","MI",81,0.81,"81 days shared in 2020"
"163","AZ","MN",30,0.3,"30 days shared in 2020"
"164","AZ","MO",47,0.47,"47 days shared in 2020"
"165","AZ","MS",67,0.67,"67 days shared in 2020"
"166","AZ","MT",50,0.5,"50 days shared in 2020"
"167","AZ","NC",2,0.02,"2 days shared in 2020"
"168","AZ","ND",47,0.47,"47 days shared in 2020"
"169","AZ","NE",66,0.66,"66 days shared in 2020"
"170","AZ","NH",88,0.88,"88 days shared in 2020"
"171","AZ","NJ",91,0.91,"91 days shared in 2020"
"172","AZ","NM",133,1.33,"133 days shared in 2020"
"173","AZ","NV",31,0.31,"31 days shared in 2020"
"174","AZ","NY",79,0.79,"79 days shared in 2020"
"175","AZ","OH",56,0.56,"56 days shared in 2020"
"176","AZ","OK",56,0.56,"56 days shared in 2020"
"177","AZ","OR",73,0.73,"73 days shared in 2020"
"178","AZ","PA",250,2.5,"250 days shared in 2020"
"179","AZ","RI",52,0.52,"52 days shared in 2020"
"180","AZ","SC",48,0.48,"48 days shared in 2020"
"181","AZ","SD",5,0.05,"5 days shared in 2020"
"182","AZ","TN",65,0.65,"65 days shared in 2020"
"183","AZ","TX",178,1.78,"178 days shared in 2020"
"184","AZ","UT",45,0.45,"45 days shared in 2020"
"185","AZ","VA",57,0.57,"57 days shared in 2020"
"186","AZ","VT",113,1.13,"113 days shared in 2020"
"187","AZ","WA",1,0.01,"1 days shared in 2020"
"188","AZ","WI",55,0.55,"55 days shared in 2020"
"189","AZ","WV",7,0.07,"7 days shared in 2020"
"190","AZ","WY",60,0.6,"60 days shared in 2020"
