"","state_one","state_two","gathering_bans_overLap"
"284","CT","IA",61
"285","CT","ID",57
"286","CT","IL",132
"287","CT","IN",68
"288","CT","KS",66
"289","CT","KY",27
"290","CT","LA",54
"291","CT","MA",179
"292","CT","MD",83
"293","CT","ME",90
"294","CT","MI",94
"295","CT","MN",78
"296","CT","MO",40
"297","CT","MS",108
"298","CT","MT",3
"299","CT","NC",115
"300","CT","ND",1
"301","CT","NE",78
"302","CT","NH",83
"303","CT","NJ",119
"304","CT","NM",84
"305","CT","NV",82
"306","CT","NY",45
"307","CT","OH",90
"308","CT","OK",30
"309","CT","OR",32
"310","CT","PA",87
"311","CT","RI",224
"312","CT","SC",1
"313","CT","SD",1
"314","CT","TN",58
"315","CT","TX",1
"316","CT","UT",2
"317","CT","VA",72
"318","CT","VT",210
"319","CT","WA",74
"320","CT","WI",1
"321","CT","WV",126
"322","CT","WY",51
"323","DE","FL",198
"324","DE","GA",79
"325","DE","HI",79
"326","DE","IA",188
"327","DE","ID",178
"328","DE","IL",118
"329","DE","IN",48
"330","DE","KS",224
"331","DE","KY",29
"332","DE","LA",56
"333","DE","MA",115
"334","DE","MD",235
"335","DE","ME",65
"336","DE","MI",76
"337","DE","MN",77
"338","DE","MO",198
"339","DE","MS",65
"340","DE","MT",163
"341","DE","NC",82
"342","DE","ND",166
"343","DE","NE",116
"344","DE","NH",239
"345","DE","NJ",99
"346","DE","NM",79
"347","DE","NV",64
"348","DE","NY",32
"349","DE","OH",81
"350","DE","OK",188
"351","DE","OR",11
"352","DE","PA",5
"353","DE","RI",104
"354","DE","SC",54
"355","DE","SD",166
"356","DE","TN",216
"357","DE","TX",22
"358","DE","UT",36
"359","DE","VA",68
"360","DE","VT",79
"361","DE","WA",64
"362","DE","WI",156
"363","DE","WV",37
"364","DE","WY",48
"365","FL","GA",45
"366","FL","HI",46
"367","FL","IA",183
"368","FL","ID",161
"369","FL","IL",34
"370","FL","IN",13
"371","FL","KS",234
"372","FL","KY",41
"373","FL","LA",34
"374","FL","MA",34
"375","FL","MD",239
"376","FL","ME",35
"377","FL","MI",20
"378","FL","MN",77
"379","FL","MO",222
"380","FL","MS",48
"381","FL","MT",188
"382","FL","NC",35
"383","FL","ND",264
"384","FL","NE",98
"385","FL","NH",243
"386","FL","NJ",23
"387","FL","NM",37
"388","FL","NV",33
"389","FL","NY",15
"390","FL","OH",33
"391","FL","OK",233
"392","FL","OR",1
"393","FL","PA",21
"394","FL","RI",39
"395","FL","SC",113
"396","FL","SD",264
"397","FL","TN",228
"398","FL","TX",81
"399","FL","UT",76
"400","FL","VA",36
"401","FL","VT",4
"402","FL","WA",15
"403","FL","WI",206
"404","FL","WV",13
"405","FL","WY",20
"406","GA","HI",96
"407","GA","IA",73
"408","GA","ID",13
"409","GA","IL",214
"410","GA","IN",26
"411","GA","KS",64
"412","GA","KY",54
"413","GA","LA",114
"414","GA","MA",86
"415","GA","MD",80
"416","GA","ME",253
"417","GA","MI",28
"418","GA","MN",47
"419","GA","MO",53
"420","GA","MS",75
"421","GA","MT",17
"422","GA","NC",81
"423","GA","ND",13
"424","GA","NE",89
"425","GA","NH",96
"426","GA","NJ",64
"427","GA","NM",89
"428","GA","NV",147
"429","GA","NY",214
"430","GA","OH",85
"431","GA","OK",44
"432","GA","OR",1
"433","GA","PA",13
"434","GA","RI",80
"435","GA","SC",13
"436","GA","SD",13
"437","GA","TN",71
"438","GA","TX",13
"439","GA","UT",123
"440","GA","VA",92
"441","GA","VT",45
"442","GA","WA",26
"443","GA","WI",6
"444","GA","WV",54
"445","GA","WY",222
"446","HI","IA",121
"447","HI","ID",14
"448","HI","IL",95
"449","HI","IN",47
"450","HI","KS",64
"451","HI","KY",170
"452","HI","LA",53
"453","HI","MA",115
"454","HI","MD",79
"455","HI","ME",75
"456","HI","MI",93
"457","HI","MN",183
"458","HI","MO",52
"459","HI","MS",151
"460","HI","MT",16
"461","HI","NC",188
"462","HI","ND",14
"463","HI","NE",201
"464","HI","NH",95
"465","HI","NJ",85
"466","HI","NM",265
"467","HI","NV",39
"468","HI","NY",25
"469","HI","OH",261
"470","HI","OK",43
"471","HI","OR",52
"472","HI","PA",34
"473","HI","RI",99
"474","HI","SC",14
"475","HI","SD",14
"476","HI","TN",82
"477","HI","TX",175
"478","HI","UT",23
"479","HI","VA",94
"480","HI","VT",44
"481","HI","WA",158
