"","from","to","stay_at_home_orders_overLap","width","title"
"118","AR","MO",221,2.21,"221 days shared in 2020"
"119","AR","MS",112,1.12,"112 days shared in 2020"
"120","AR","MT",55,0.55,"55 days shared in 2020"
"121","AR","NC",15,0.15,"15 days shared in 2020"
"122","AR","ND",292,2.92,"292 days shared in 2020"
"123","AR","NE",292,2.92,"292 days shared in 2020"
"124","AR","NH",12,0.12,"12 days shared in 2020"
"125","AR","NJ",212,2.12,"212 days shared in 2020"
"126","AR","NM",1,0.01,"1 days shared in 2020"
"127","AR","NV",16,0.16,"16 days shared in 2020"
"128","AR","NY",7,0.07,"7 days shared in 2020"
"129","AR","OH",8,0.08,"8 days shared in 2020"
"130","AR","OK",69,0.69,"69 days shared in 2020"
"131","AR","OR",37,0.37,"37 days shared in 2020"
"132","AR","PA",209,2.09,"209 days shared in 2020"
"133","AR","RI",13,0.13,"13 days shared in 2020"
"134","AR","SC",175,1.75,"175 days shared in 2020"
"135","AR","SD",222,2.22,"222 days shared in 2020"
"136","AR","TN",109,1.09,"109 days shared in 2020"
"137","AR","TX",18,0.18,"18 days shared in 2020"
"138","AR","UT",257,2.57,"257 days shared in 2020"
"139","AR","VA",246,2.46,"246 days shared in 2020"
"140","AR","VT",9,0.09,"9 days shared in 2020"
"141","AR","WA",8,0.08,"8 days shared in 2020"
"142","AR","WI",191,1.91,"191 days shared in 2020"
"143","AR","WV",9,0.09,"9 days shared in 2020"
"144","AR","WY",292,2.92,"292 days shared in 2020"
"145","AZ","CA",49,0.49,"49 days shared in 2020"
"146","AZ","CO",43,0.43,"43 days shared in 2020"
"147","AZ","CT",246,2.46,"246 days shared in 2020"
"148","AZ","DE",151,1.51,"151 days shared in 2020"
"149","AZ","FL",144,1.44,"144 days shared in 2020"
"150","AZ","GA",33,0.33,"33 days shared in 2020"
"151","AZ","HI",51,0.51,"51 days shared in 2020"
"152","AZ","IA",21,0.21,"21 days shared in 2020"
"153","AZ","ID",202,2.02,"202 days shared in 2020"
"154","AZ","IL",47,0.47,"47 days shared in 2020"
"155","AZ","IN",48,0.48,"48 days shared in 2020"
"156","AZ","KS",274,2.74,"274 days shared in 2020"
"157","AZ","KY",15,0.15,"15 days shared in 2020"
"158","AZ","LA",50,0.5,"50 days shared in 2020"
"159","AZ","MA",70,0.7,"70 days shared in 2020"
