"","id","label","type","color"
"1","Hispanic or Latino","Hispanic or Latino","dep","#FF0000"
"2","Non-Hispanic Asian","Non-Hispanic Asian","dep","#0000FF"
"3","Non-Hispanic Black","Non-Hispanic Black","dep","#BF003F"
"4","Non-Hispanic Other/Multiple Races","Non-Hispanic Other/Multiple Races","dep","#FF0000"
"5","Non-Hispanic White","Non-Hispanic White","dep","#BF003F"
