"","anx","dep","presc","mhs","no_a","hc","race_ethnicity_one","race_ethnicity_two"
"1",0.897406519193566,0.898718277025916,0.938482338919243,0.957902318770987,0.932244495428215,0.896309339980147,"Hispanic or Latino","Non-Hispanic Asian"
"2",0.930822668535255,0.972744345363427,0.971917193382395,0.997896378912439,0.952364604314028,0.994676272846366,"Hispanic or Latino","Non-Hispanic Black"
"3",0.979380530020396,0.997881182966226,0.947001087027135,0.959226234005085,0.969750490968712,0.89914236372991,"Hispanic or Latino","Non-Hispanic Other/Multiple Races"
"4",0.971070717770355,0.97359099098298,0.889562966724709,0.943250475763833,0.993652939777139,0.878361085726557,"Hispanic or Latino","Non-Hispanic White"
"5",0.96658385065831,0.925973931662489,0.966565145536848,0.955798697683426,0.979879891114187,0.901633067133781,"Non-Hispanic Asian","Non-Hispanic Black"
"6",0.876787049213962,0.90083709405969,0.885483425946379,0.917128552776072,0.901994986396927,0.997166976250237,"Non-Hispanic Asian","Non-Hispanic Other/Multiple Races"
"7",0.868477236963921,0.925127286042936,0.828045305643952,0.90115279453482,0.925897435205354,0.98205174574641,"Non-Hispanic Asian","Non-Hispanic White"
"8",0.910203198555651,0.974863162397201,0.91891828040953,0.961329855092647,0.92211509528274,0.904466090883544,"Non-Hispanic Black","Non-Hispanic Other/Multiple Races"
"9",0.901893386305611,0.999153354380447,0.861480160107104,0.945354096851394,0.946017544091167,0.883684812880192,"Non-Hispanic Black","Non-Hispanic White"
"10",0.991690187749959,0.975709808016754,0.942561879697573,0.984024241758748,0.976097551191573,0.979218721996647,"Non-Hispanic Other/Multiple Races","Non-Hispanic White"
