"","from","to","mask_mandates_overLap","width","title"
"515","IA","TX",129,1.29,"129 days shared in 2020"
"516","IA","UT",232,2.32,"232 days shared in 2020"
"517","IA","VA",94,0.94,"94 days shared in 2020"
"518","IA","VT",158,1.58,"158 days shared in 2020"
"519","IA","WA",122,1.22,"122 days shared in 2020"
"520","IA","WI",158,1.58,"158 days shared in 2020"
"521","IA","WV",133,1.33,"133 days shared in 2020"
"522","IA","WY",221,2.21,"221 days shared in 2020"
"523","ID","IL",21,0.21,"21 days shared in 2020"
"524","ID","IN",108,1.08,"108 days shared in 2020"
"525","ID","KS",84,0.84,"84 days shared in 2020"
"526","ID","KY",91,0.91,"91 days shared in 2020"
"527","ID","LA",94,0.94,"94 days shared in 2020"
"528","ID","MA",26,0.26,"26 days shared in 2020"
"529","ID","MD",8,0.08,"8 days shared in 2020"
"530","ID","ME",21,0.21,"21 days shared in 2020"
"531","ID","MI",19,0.19,"19 days shared in 2020"
"532","ID","MN",105,1.05,"105 days shared in 2020"
"533","ID","MO",266,2.66,"266 days shared in 2020"
"534","ID","MS",180,1.8,"180 days shared in 2020"
"535","ID","MT",96,0.96,"96 days shared in 2020"
"536","ID","NC",77,0.77,"77 days shared in 2020"
"537","ID","ND",218,2.18,"218 days shared in 2020"
"538","ID","NE",266,2.66,"266 days shared in 2020"
"539","ID","NH",224,2.24,"224 days shared in 2020"
"540","ID","NJ",0,0,"0 days shared in 2020"
"541","ID","NM",35,0.35,"35 days shared in 2020"
"542","ID","NV",75,0.75,"75 days shared in 2020"
"543","ID","NY",7,0.07,"7 days shared in 2020"
"544","ID","OH",104,1.04,"104 days shared in 2020"
"545","ID","OK",266,2.66,"266 days shared in 2020"
"546","ID","OR",82,0.82,"82 days shared in 2020"
"547","ID","PA",9,0.09,"9 days shared in 2020"
"548","ID","RI",28,0.28,"28 days shared in 2020"
"549","ID","SC",266,2.66,"266 days shared in 2020"
"550","ID","SD",266,2.66,"266 days shared in 2020"
"551","ID","TN",266,2.66,"266 days shared in 2020"
"552","ID","TX",84,0.84,"84 days shared in 2020"
"553","ID","UT",187,1.87,"187 days shared in 2020"
"554","ID","VA",49,0.49,"49 days shared in 2020"
"555","ID","VT",113,1.13,"113 days shared in 2020"
"556","ID","WA",77,0.77,"77 days shared in 2020"
"557","ID","WI",113,1.13,"113 days shared in 2020"
"558","ID","WV",88,0.88,"88 days shared in 2020"
"559","ID","WY",266,2.66,"266 days shared in 2020"
"560","IL","IN",179,1.79,"179 days shared in 2020"
"561","IL","KS",203,2.03,"203 days shared in 2020"
"562","IL","KY",196,1.96,"196 days shared in 2020"
"563","IL","LA",193,1.93,"193 days shared in 2020"
"564","IL","MA",261,2.61,"261 days shared in 2020"
"565","IL","MD",253,2.53,"253 days shared in 2020"
"566","IL","ME",266,2.66,"266 days shared in 2020"
"567","IL","MI",258,2.58,"258 days shared in 2020"
"568","IL","MN",182,1.82,"182 days shared in 2020"
"569","IL","MO",21,0.21,"21 days shared in 2020"
"570","IL","MS",107,1.07,"107 days shared in 2020"
"571","IL","MT",191,1.91,"191 days shared in 2020"
"572","IL","NC",210,2.1,"210 days shared in 2020"
"573","IL","ND",69,0.69,"69 days shared in 2020"
"574","IL","NE",21,0.21,"21 days shared in 2020"
"575","IL","NH",63,0.63,"63 days shared in 2020"
"576","IL","NJ",245,2.45,"245 days shared in 2020"
"577","IL","NM",252,2.52,"252 days shared in 2020"
"578","IL","NV",212,2.12,"212 days shared in 2020"
"579","IL","NY",252,2.52,"252 days shared in 2020"
"580","IL","OH",183,1.83,"183 days shared in 2020"
"581","IL","OK",21,0.21,"21 days shared in 2020"
"582","IL","OR",205,2.05,"205 days shared in 2020"
"583","IL","PA",254,2.54,"254 days shared in 2020"
"584","IL","RI",259,2.59,"259 days shared in 2020"
"585","IL","SC",21,0.21,"21 days shared in 2020"
"586","IL","SD",21,0.21,"21 days shared in 2020"
"587","IL","TN",21,0.21,"21 days shared in 2020"
"588","IL","TX",203,2.03,"203 days shared in 2020"
"589","IL","UT",100,1,"100 days shared in 2020"
"590","IL","VA",238,2.38,"238 days shared in 2020"
"591","IL","VT",174,1.74,"174 days shared in 2020"
"592","IL","WA",210,2.1,"210 days shared in 2020"
"593","IL","WI",174,1.74,"174 days shared in 2020"
"594","IL","WV",199,1.99,"199 days shared in 2020"
"595","IL","WY",21,0.21,"21 days shared in 2020"
"596","IN","KS",242,2.42,"242 days shared in 2020"
"597","IN","KY",249,2.49,"249 days shared in 2020"
"598","IN","LA",252,2.52,"252 days shared in 2020"
"599","IN","MA",184,1.84,"184 days shared in 2020"
"600","IN","MD",166,1.66,"166 days shared in 2020"
"601","IN","ME",179,1.79,"179 days shared in 2020"
"602","IN","MI",171,1.71,"171 days shared in 2020"
"603","IN","MN",263,2.63,"263 days shared in 2020"
"604","IN","MO",108,1.08,"108 days shared in 2020"
"605","IN","MS",194,1.94,"194 days shared in 2020"
"606","IN","MT",254,2.54,"254 days shared in 2020"
"607","IN","NC",235,2.35,"235 days shared in 2020"
"608","IN","ND",156,1.56,"156 days shared in 2020"
"609","IN","NE",108,1.08,"108 days shared in 2020"
"610","IN","NH",150,1.5,"150 days shared in 2020"
"611","IN","NJ",158,1.58,"158 days shared in 2020"
"612","IN","NM",193,1.93,"193 days shared in 2020"
"613","IN","NV",233,2.33,"233 days shared in 2020"
"614","IN","NY",165,1.65,"165 days shared in 2020"
"615","IN","OH",262,2.62,"262 days shared in 2020"
"616","IN","OK",108,1.08,"108 days shared in 2020"
"617","IN","OR",240,2.4,"240 days shared in 2020"
"618","IN","PA",167,1.67,"167 days shared in 2020"
"619","IN","RI",186,1.86,"186 days shared in 2020"
"620","IN","SC",108,1.08,"108 days shared in 2020"
"621","IN","SD",108,1.08,"108 days shared in 2020"
"622","IN","TN",108,1.08,"108 days shared in 2020"
"623","IN","TX",242,2.42,"242 days shared in 2020"
"624","IN","UT",187,1.87,"187 days shared in 2020"
"625","IN","VA",207,2.07,"207 days shared in 2020"
"626","IN","VT",261,2.61,"261 days shared in 2020"
"627","IN","WA",235,2.35,"235 days shared in 2020"
"628","IN","WI",261,2.61,"261 days shared in 2020"
"629","IN","WV",246,2.46,"246 days shared in 2020"
"630","IN","WY",108,1.08,"108 days shared in 2020"
"631","KS","KY",259,2.59,"259 days shared in 2020"
"632","KS","LA",256,2.56,"256 days shared in 2020"
"633","KS","MA",208,2.08,"208 days shared in 2020"
"634","KS","MD",190,1.9,"190 days shared in 2020"
"635","KS","ME",203,2.03,"203 days shared in 2020"
"636","KS","MI",195,1.95,"195 days shared in 2020"
"637","KS","MN",245,2.45,"245 days shared in 2020"
"638","KS","MO",84,0.84,"84 days shared in 2020"
"639","KS","MS",170,1.7,"170 days shared in 2020"
"640","KS","MT",254,2.54,"254 days shared in 2020"
"641","KS","NC",259,2.59,"259 days shared in 2020"
"642","KS","ND",132,1.32,"132 days shared in 2020"
"643","KS","NE",84,0.84,"84 days shared in 2020"
"644","KS","NH",126,1.26,"126 days shared in 2020"
"645","KS","NJ",182,1.82,"182 days shared in 2020"
"646","KS","NM",217,2.17,"217 days shared in 2020"
"647","KS","NV",257,2.57,"257 days shared in 2020"
"648","KS","NY",189,1.89,"189 days shared in 2020"
"649","KS","OH",246,2.46,"246 days shared in 2020"
"650","KS","OK",84,0.84,"84 days shared in 2020"
"651","KS","OR",264,2.64,"264 days shared in 2020"
"652","KS","PA",191,1.91,"191 days shared in 2020"
"653","KS","RI",210,2.1,"210 days shared in 2020"
"654","KS","SC",84,0.84,"84 days shared in 2020"
"655","KS","SD",84,0.84,"84 days shared in 2020"
"656","KS","TN",84,0.84,"84 days shared in 2020"
"657","KS","TX",266,2.66,"266 days shared in 2020"
"658","KS","UT",163,1.63,"163 days shared in 2020"
"659","KS","VA",231,2.31,"231 days shared in 2020"
"660","KS","VT",237,2.37,"237 days shared in 2020"
"661","KS","WA",259,2.59,"259 days shared in 2020"
"662","KS","WI",237,2.37,"237 days shared in 2020"
"663","KS","WV",262,2.62,"262 days shared in 2020"
"664","KS","WY",84,0.84,"84 days shared in 2020"
"665","KY","LA",263,2.63,"263 days shared in 2020"
"666","KY","MA",201,2.01,"201 days shared in 2020"
"667","KY","MD",183,1.83,"183 days shared in 2020"
"668","KY","ME",196,1.96,"196 days shared in 2020"
"669","KY","MI",188,1.88,"188 days shared in 2020"
"670","KY","MN",252,2.52,"252 days shared in 2020"
"671","KY","MO",91,0.91,"91 days shared in 2020"
"672","KY","MS",177,1.77,"177 days shared in 2020"
"673","KY","MT",261,2.61,"261 days shared in 2020"
"674","KY","NC",252,2.52,"252 days shared in 2020"
"675","KY","ND",139,1.39,"139 days shared in 2020"
"676","KY","NE",91,0.91,"91 days shared in 2020"
"677","KY","NH",133,1.33,"133 days shared in 2020"
"678","KY","NJ",175,1.75,"175 days shared in 2020"
"679","KY","NM",210,2.1,"210 days shared in 2020"
"680","KY","NV",250,2.5,"250 days shared in 2020"
"681","KY","NY",182,1.82,"182 days shared in 2020"
"682","KY","OH",253,2.53,"253 days shared in 2020"
"683","KY","OK",91,0.91,"91 days shared in 2020"
"684","KY","OR",257,2.57,"257 days shared in 2020"
"685","KY","PA",184,1.84,"184 days shared in 2020"
"686","KY","RI",203,2.03,"203 days shared in 2020"
"687","KY","SC",91,0.91,"91 days shared in 2020"
"688","KY","SD",91,0.91,"91 days shared in 2020"
"689","KY","TN",91,0.91,"91 days shared in 2020"
"690","KY","TX",259,2.59,"259 days shared in 2020"
"691","KY","UT",170,1.7,"170 days shared in 2020"
"692","KY","VA",224,2.24,"224 days shared in 2020"
"693","KY","VT",244,2.44,"244 days shared in 2020"
"694","KY","WA",252,2.52,"252 days shared in 2020"
"695","KY","WI",244,2.44,"244 days shared in 2020"
"696","KY","WV",263,2.63,"263 days shared in 2020"
"697","KY","WY",91,0.91,"91 days shared in 2020"
"698","LA","MA",198,1.98,"198 days shared in 2020"
"699","LA","MD",180,1.8,"180 days shared in 2020"
"700","LA","ME",193,1.93,"193 days shared in 2020"
"701","LA","MI",185,1.85,"185 days shared in 2020"
"702","LA","MN",255,2.55,"255 days shared in 2020"
"703","LA","MO",94,0.94,"94 days shared in 2020"
"704","LA","MS",180,1.8,"180 days shared in 2020"
"705","LA","MT",264,2.64,"264 days shared in 2020"
"706","LA","NC",249,2.49,"249 days shared in 2020"
"707","LA","ND",142,1.42,"142 days shared in 2020"
"708","LA","NE",94,0.94,"94 days shared in 2020"
"709","LA","NH",136,1.36,"136 days shared in 2020"
"710","LA","NJ",172,1.72,"172 days shared in 2020"
"711","LA","NM",207,2.07,"207 days shared in 2020"
"712","LA","NV",247,2.47,"247 days shared in 2020"
"713","LA","NY",179,1.79,"179 days shared in 2020"
"714","LA","OH",256,2.56,"256 days shared in 2020"
"715","LA","OK",94,0.94,"94 days shared in 2020"
"716","LA","OR",254,2.54,"254 days shared in 2020"
"717","LA","PA",181,1.81,"181 days shared in 2020"
"718","LA","RI",200,2,"200 days shared in 2020"
"719","LA","SC",94,0.94,"94 days shared in 2020"
"720","LA","SD",94,0.94,"94 days shared in 2020"
"721","LA","TN",94,0.94,"94 days shared in 2020"
"722","LA","TX",256,2.56,"256 days shared in 2020"
"723","LA","UT",173,1.73,"173 days shared in 2020"
"724","LA","VA",221,2.21,"221 days shared in 2020"
"725","LA","VT",247,2.47,"247 days shared in 2020"
"726","LA","WA",249,2.49,"249 days shared in 2020"
"727","LA","WI",247,2.47,"247 days shared in 2020"
"728","LA","WV",260,2.6,"260 days shared in 2020"
"729","LA","WY",94,0.94,"94 days shared in 2020"
"730","MA","MD",248,2.48,"248 days shared in 2020"
"731","MA","ME",261,2.61,"261 days shared in 2020"
"732","MA","MI",253,2.53,"253 days shared in 2020"
"733","MA","MN",187,1.87,"187 days shared in 2020"
"734","MA","MO",26,0.26,"26 days shared in 2020"
"735","MA","MS",112,1.12,"112 days shared in 2020"
"736","MA","MT",196,1.96,"196 days shared in 2020"
"737","MA","NC",215,2.15,"215 days shared in 2020"
"738","MA","ND",74,0.74,"74 days shared in 2020"
"739","MA","NE",26,0.26,"26 days shared in 2020"
"740","MA","NH",68,0.68,"68 days shared in 2020"
"741","MA","NJ",240,2.4,"240 days shared in 2020"
"742","MA","NM",257,2.57,"257 days shared in 2020"
"743","MA","NV",217,2.17,"217 days shared in 2020"
"744","MA","NY",247,2.47,"247 days shared in 2020"
"745","MA","OH",188,1.88,"188 days shared in 2020"
"746","MA","OK",26,0.26,"26 days shared in 2020"
"747","MA","OR",210,2.1,"210 days shared in 2020"
"748","MA","PA",249,2.49,"249 days shared in 2020"
"749","MA","RI",264,2.64,"264 days shared in 2020"
"750","MA","SC",26,0.26,"26 days shared in 2020"
"751","MA","SD",26,0.26,"26 days shared in 2020"
"752","MA","TN",26,0.26,"26 days shared in 2020"
"753","MA","TX",208,2.08,"208 days shared in 2020"
"754","MA","UT",105,1.05,"105 days shared in 2020"
"755","MA","VA",243,2.43,"243 days shared in 2020"
"756","MA","VT",179,1.79,"179 days shared in 2020"
"757","MA","WA",215,2.15,"215 days shared in 2020"
"758","MA","WI",179,1.79,"179 days shared in 2020"
"759","MA","WV",204,2.04,"204 days shared in 2020"
"760","MA","WY",26,0.26,"26 days shared in 2020"
"761","MD","ME",253,2.53,"253 days shared in 2020"
"762","MD","MI",255,2.55,"255 days shared in 2020"
"763","MD","MN",169,1.69,"169 days shared in 2020"
"764","MD","MO",8,0.08,"8 days shared in 2020"
"765","MD","MS",94,0.94,"94 days shared in 2020"
"766","MD","MT",178,1.78,"178 days shared in 2020"
"767","MD","NC",197,1.97,"197 days shared in 2020"
"768","MD","ND",56,0.56,"56 days shared in 2020"
"769","MD","NE",8,0.08,"8 days shared in 2020"
"770","MD","NH",50,0.5,"50 days shared in 2020"
"771","MD","NJ",258,2.58,"258 days shared in 2020"
"772","MD","NM",239,2.39,"239 days shared in 2020"
"773","MD","NV",199,1.99,"199 days shared in 2020"
"774","MD","NY",265,2.65,"265 days shared in 2020"
"775","MD","OH",170,1.7,"170 days shared in 2020"
"776","MD","OK",8,0.08,"8 days shared in 2020"
"777","MD","OR",192,1.92,"192 days shared in 2020"
"778","MD","PA",265,2.65,"265 days shared in 2020"
"779","MD","RI",246,2.46,"246 days shared in 2020"
"780","MD","SC",8,0.08,"8 days shared in 2020"
"781","MD","SD",8,0.08,"8 days shared in 2020"
"782","MD","TN",8,0.08,"8 days shared in 2020"
"783","MD","TX",190,1.9,"190 days shared in 2020"
"784","MD","UT",87,0.87,"87 days shared in 2020"
"785","MD","VA",225,2.25,"225 days shared in 2020"
"786","MD","VT",161,1.61,"161 days shared in 2020"
"787","MD","WA",197,1.97,"197 days shared in 2020"
"788","MD","WI",161,1.61,"161 days shared in 2020"
"789","MD","WV",186,1.86,"186 days shared in 2020"
"790","MD","WY",8,0.08,"8 days shared in 2020"
"791","ME","MI",258,2.58,"258 days shared in 2020"
"792","ME","MN",182,1.82,"182 days shared in 2020"
"793","ME","MO",21,0.21,"21 days shared in 2020"
"794","ME","MS",107,1.07,"107 days shared in 2020"
"795","ME","MT",191,1.91,"191 days shared in 2020"
"796","ME","NC",210,2.1,"210 days shared in 2020"
"797","ME","ND",69,0.69,"69 days shared in 2020"
"798","ME","NE",21,0.21,"21 days shared in 2020"
"799","ME","NH",63,0.63,"63 days shared in 2020"
"800","ME","NJ",245,2.45,"245 days shared in 2020"
"801","ME","NM",252,2.52,"252 days shared in 2020"
"802","ME","NV",212,2.12,"212 days shared in 2020"
"803","ME","NY",252,2.52,"252 days shared in 2020"
"804","ME","OH",183,1.83,"183 days shared in 2020"
"805","ME","OK",21,0.21,"21 days shared in 2020"
"806","ME","OR",205,2.05,"205 days shared in 2020"
"807","ME","PA",254,2.54,"254 days shared in 2020"
"808","ME","RI",259,2.59,"259 days shared in 2020"
"809","ME","SC",21,0.21,"21 days shared in 2020"
"810","ME","SD",21,0.21,"21 days shared in 2020"
"811","ME","TN",21,0.21,"21 days shared in 2020"
"812","ME","TX",203,2.03,"203 days shared in 2020"
"813","ME","UT",100,1,"100 days shared in 2020"
"814","ME","VA",238,2.38,"238 days shared in 2020"
"815","ME","VT",174,1.74,"174 days shared in 2020"
"816","ME","WA",210,2.1,"210 days shared in 2020"
"817","ME","WI",174,1.74,"174 days shared in 2020"
"818","ME","WV",199,1.99,"199 days shared in 2020"
"819","ME","WY",21,0.21,"21 days shared in 2020"
"820","MI","MN",174,1.74,"174 days shared in 2020"
"821","MI","MO",19,0.19,"19 days shared in 2020"
"822","MI","MS",105,1.05,"105 days shared in 2020"
"823","MI","MT",183,1.83,"183 days shared in 2020"
"824","MI","NC",202,2.02,"202 days shared in 2020"
"825","MI","ND",67,0.67,"67 days shared in 2020"
"826","MI","NE",19,0.19,"19 days shared in 2020"
"827","MI","NH",61,0.61,"61 days shared in 2020"
"828","MI","NJ",247,2.47,"247 days shared in 2020"
"829","MI","NM",244,2.44,"244 days shared in 2020"
"830","MI","NV",204,2.04,"204 days shared in 2020"
"831","MI","NY",254,2.54,"254 days shared in 2020"
"832","MI","OH",175,1.75,"175 days shared in 2020"
"833","MI","OK",19,0.19,"19 days shared in 2020"
"834","MI","OR",197,1.97,"197 days shared in 2020"
"835","MI","PA",256,2.56,"256 days shared in 2020"
"836","MI","RI",251,2.51,"251 days shared in 2020"
"837","MI","SC",19,0.19,"19 days shared in 2020"
"838","MI","SD",19,0.19,"19 days shared in 2020"
"839","MI","TN",19,0.19,"19 days shared in 2020"
"840","MI","TX",195,1.95,"195 days shared in 2020"
"841","MI","UT",98,0.98,"98 days shared in 2020"
"842","MI","VA",230,2.3,"230 days shared in 2020"
"843","MI","VT",166,1.66,"166 days shared in 2020"
"844","MI","WA",202,2.02,"202 days shared in 2020"
"845","MI","WI",166,1.66,"166 days shared in 2020"
"846","MI","WV",191,1.91,"191 days shared in 2020"
"847","MI","WY",19,0.19,"19 days shared in 2020"
"848","MN","MO",105,1.05,"105 days shared in 2020"
"849","MN","MS",191,1.91,"191 days shared in 2020"
"850","MN","MT",257,2.57,"257 days shared in 2020"
"851","MN","NC",238,2.38,"238 days shared in 2020"
"852","MN","ND",153,1.53,"153 days shared in 2020"
"853","MN","NE",105,1.05,"105 days shared in 2020"
"854","MN","NH",147,1.47,"147 days shared in 2020"
"855","MN","NJ",161,1.61,"161 days shared in 2020"
"856","MN","NM",196,1.96,"196 days shared in 2020"
"857","MN","NV",236,2.36,"236 days shared in 2020"
"858","MN","NY",168,1.68,"168 days shared in 2020"
"859","MN","OH",265,2.65,"265 days shared in 2020"
"860","MN","OK",105,1.05,"105 days shared in 2020"
"861","MN","OR",243,2.43,"243 days shared in 2020"
"862","MN","PA",170,1.7,"170 days shared in 2020"
"863","MN","RI",189,1.89,"189 days shared in 2020"
"864","MN","SC",105,1.05,"105 days shared in 2020"
"865","MN","SD",105,1.05,"105 days shared in 2020"
"866","MN","TN",105,1.05,"105 days shared in 2020"
"867","MN","TX",245,2.45,"245 days shared in 2020"
"868","MN","UT",184,1.84,"184 days shared in 2020"
"869","MN","VA",210,2.1,"210 days shared in 2020"
"870","MN","VT",258,2.58,"258 days shared in 2020"
"871","MN","WA",238,2.38,"238 days shared in 2020"
"872","MN","WI",258,2.58,"258 days shared in 2020"
"873","MN","WV",249,2.49,"249 days shared in 2020"
"874","MN","WY",105,1.05,"105 days shared in 2020"
"875","MO","MS",180,1.8,"180 days shared in 2020"
"876","MO","MT",96,0.96,"96 days shared in 2020"
"877","MO","NC",77,0.77,"77 days shared in 2020"
"878","MO","ND",218,2.18,"218 days shared in 2020"
"879","MO","NE",266,2.66,"266 days shared in 2020"
"880","MO","NH",224,2.24,"224 days shared in 2020"
"881","MO","NJ",0,0,"0 days shared in 2020"
"882","MO","NM",35,0.35,"35 days shared in 2020"
"883","MO","NV",75,0.75,"75 days shared in 2020"
"884","MO","NY",7,0.07,"7 days shared in 2020"
"885","MO","OH",104,1.04,"104 days shared in 2020"
"886","MO","OK",266,2.66,"266 days shared in 2020"
"887","MO","OR",82,0.82,"82 days shared in 2020"
"888","MO","PA",9,0.09,"9 days shared in 2020"
"889","MO","RI",28,0.28,"28 days shared in 2020"
"890","MO","SC",266,2.66,"266 days shared in 2020"
"891","MO","SD",266,2.66,"266 days shared in 2020"
"892","MO","TN",266,2.66,"266 days shared in 2020"
"893","MO","TX",84,0.84,"84 days shared in 2020"
"894","MO","UT",187,1.87,"187 days shared in 2020"
"895","MO","VA",49,0.49,"49 days shared in 2020"
"896","MO","VT",113,1.13,"113 days shared in 2020"
"897","MO","WA",77,0.77,"77 days shared in 2020"
"898","MO","WI",113,1.13,"113 days shared in 2020"
"899","MO","WV",88,0.88,"88 days shared in 2020"
"900","MO","WY",266,2.66,"266 days shared in 2020"
"901","MS","MT",182,1.82,"182 days shared in 2020"
"902","MS","NC",163,1.63,"163 days shared in 2020"
"903","MS","ND",192,1.92,"192 days shared in 2020"
"904","MS","NE",180,1.8,"180 days shared in 2020"
"905","MS","NH",198,1.98,"198 days shared in 2020"
"906","MS","NJ",86,0.86,"86 days shared in 2020"
"907","MS","NM",121,1.21,"121 days shared in 2020"
"908","MS","NV",161,1.61,"161 days shared in 2020"
"909","MS","NY",93,0.93,"93 days shared in 2020"
"910","MS","OH",190,1.9,"190 days shared in 2020"
"911","MS","OK",180,1.8,"180 days shared in 2020"
"912","MS","OR",168,1.68,"168 days shared in 2020"
"913","MS","PA",95,0.95,"95 days shared in 2020"
"914","MS","RI",114,1.14,"114 days shared in 2020"
"915","MS","SC",180,1.8,"180 days shared in 2020"
"916","MS","SD",180,1.8,"180 days shared in 2020"
"917","MS","TN",180,1.8,"180 days shared in 2020"
"918","MS","TX",170,1.7,"170 days shared in 2020"
"919","MS","UT",161,1.61,"161 days shared in 2020"
"920","MS","VA",135,1.35,"135 days shared in 2020"
"921","MS","VT",199,1.99,"199 days shared in 2020"
"922","MS","WA",163,1.63,"163 days shared in 2020"
"923","MS","WI",199,1.99,"199 days shared in 2020"
"924","MS","WV",174,1.74,"174 days shared in 2020"
"925","MS","WY",180,1.8,"180 days shared in 2020"
"926","MT","NC",247,2.47,"247 days shared in 2020"
"927","MT","ND",144,1.44,"144 days shared in 2020"
"928","MT","NE",96,0.96,"96 days shared in 2020"
"929","MT","NH",138,1.38,"138 days shared in 2020"
"930","MT","NJ",170,1.7,"170 days shared in 2020"
"931","MT","NM",205,2.05,"205 days shared in 2020"
"932","MT","NV",245,2.45,"245 days shared in 2020"
"933","MT","NY",177,1.77,"177 days shared in 2020"
"934","MT","OH",258,2.58,"258 days shared in 2020"
"935","MT","OK",96,0.96,"96 days shared in 2020"
"936","MT","OR",252,2.52,"252 days shared in 2020"
"937","MT","PA",179,1.79,"179 days shared in 2020"
"938","MT","RI",198,1.98,"198 days shared in 2020"
"939","MT","SC",96,0.96,"96 days shared in 2020"
"940","MT","SD",96,0.96,"96 days shared in 2020"
"941","MT","TN",96,0.96,"96 days shared in 2020"
"942","MT","TX",254,2.54,"254 days shared in 2020"
"943","MT","UT",175,1.75,"175 days shared in 2020"
"944","MT","VA",219,2.19,"219 days shared in 2020"
"945","MT","VT",249,2.49,"249 days shared in 2020"
"946","MT","WA",247,2.47,"247 days shared in 2020"
"947","MT","WI",249,2.49,"249 days shared in 2020"
"948","MT","WV",258,2.58,"258 days shared in 2020"
"949","MT","WY",96,0.96,"96 days shared in 2020"
"950","NC","ND",125,1.25,"125 days shared in 2020"
"951","NC","NE",77,0.77,"77 days shared in 2020"
"952","NC","NH",119,1.19,"119 days shared in 2020"
"953","NC","NJ",189,1.89,"189 days shared in 2020"
"954","NC","NM",224,2.24,"224 days shared in 2020"
"955","NC","NV",264,2.64,"264 days shared in 2020"
"956","NC","NY",196,1.96,"196 days shared in 2020"
"957","NC","OH",239,2.39,"239 days shared in 2020"
"958","NC","OK",77,0.77,"77 days shared in 2020"
"959","NC","OR",261,2.61,"261 days shared in 2020"
"960","NC","PA",198,1.98,"198 days shared in 2020"
"961","NC","RI",217,2.17,"217 days shared in 2020"
"962","NC","SC",77,0.77,"77 days shared in 2020"
"963","NC","SD",77,0.77,"77 days shared in 2020"
"964","NC","TN",77,0.77,"77 days shared in 2020"
"965","NC","TX",259,2.59,"259 days shared in 2020"
"966","NC","UT",156,1.56,"156 days shared in 2020"
"967","NC","VA",238,2.38,"238 days shared in 2020"
"968","NC","VT",230,2.3,"230 days shared in 2020"
"969","NC","WA",266,2.66,"266 days shared in 2020"
"970","NC","WI",230,2.3,"230 days shared in 2020"
"971","NC","WV",255,2.55,"255 days shared in 2020"
"972","NC","WY",77,0.77,"77 days shared in 2020"
"973","ND","NE",218,2.18,"218 days shared in 2020"
"974","ND","NH",260,2.6,"260 days shared in 2020"
"975","ND","NJ",48,0.48,"48 days shared in 2020"
"976","ND","NM",83,0.83,"83 days shared in 2020"
"977","ND","NV",123,1.23,"123 days shared in 2020"
"978","ND","NY",55,0.55,"55 days shared in 2020"
"979","ND","OH",152,1.52,"152 days shared in 2020"
"980","ND","OK",218,2.18,"218 days shared in 2020"
"981","ND","OR",130,1.3,"130 days shared in 2020"
"982","ND","PA",57,0.57,"57 days shared in 2020"
"983","ND","RI",76,0.76,"76 days shared in 2020"
"984","ND","SC",218,2.18,"218 days shared in 2020"
"985","ND","SD",218,2.18,"218 days shared in 2020"
"986","ND","TN",218,2.18,"218 days shared in 2020"
"987","ND","TX",132,1.32,"132 days shared in 2020"
"988","ND","UT",235,2.35,"235 days shared in 2020"
"989","ND","VA",97,0.97,"97 days shared in 2020"
"990","ND","VT",161,1.61,"161 days shared in 2020"
"991","ND","WA",125,1.25,"125 days shared in 2020"
"992","ND","WI",161,1.61,"161 days shared in 2020"
"993","ND","WV",136,1.36,"136 days shared in 2020"
"994","ND","WY",218,2.18,"218 days shared in 2020"
"995","NE","NH",224,2.24,"224 days shared in 2020"
"996","NE","NJ",0,0,"0 days shared in 2020"
"997","NE","NM",35,0.35,"35 days shared in 2020"
"998","NE","NV",75,0.75,"75 days shared in 2020"
"999","NE","NY",7,0.07,"7 days shared in 2020"
"1000","NE","OH",104,1.04,"104 days shared in 2020"
"1001","NE","OK",266,2.66,"266 days shared in 2020"
"1002","NE","OR",82,0.82,"82 days shared in 2020"
"1003","NE","PA",9,0.09,"9 days shared in 2020"
"1004","NE","RI",28,0.28,"28 days shared in 2020"
"1005","NE","SC",266,2.66,"266 days shared in 2020"
"1006","NE","SD",266,2.66,"266 days shared in 2020"
"1007","NE","TN",266,2.66,"266 days shared in 2020"
"1008","NE","TX",84,0.84,"84 days shared in 2020"
"1009","NE","UT",187,1.87,"187 days shared in 2020"
"1010","NE","VA",49,0.49,"49 days shared in 2020"
"1011","NE","VT",113,1.13,"113 days shared in 2020"
"1012","NE","WA",77,0.77,"77 days shared in 2020"
"1013","NE","WI",113,1.13,"113 days shared in 2020"
"1014","NE","WV",88,0.88,"88 days shared in 2020"
"1015","NE","WY",266,2.66,"266 days shared in 2020"
"1016","NH","NJ",42,0.42,"42 days shared in 2020"
"1017","NH","NM",77,0.77,"77 days shared in 2020"
"1018","NH","NV",117,1.17,"117 days shared in 2020"
"1019","NH","NY",49,0.49,"49 days shared in 2020"
"1020","NH","OH",146,1.46,"146 days shared in 2020"
"1021","NH","OK",224,2.24,"224 days shared in 2020"
"1022","NH","OR",124,1.24,"124 days shared in 2020"
"1023","NH","PA",51,0.51,"51 days shared in 2020"
"1024","NH","RI",70,0.7,"70 days shared in 2020"
"1025","NH","SC",224,2.24,"224 days shared in 2020"
"1026","NH","SD",224,2.24,"224 days shared in 2020"
"1027","NH","TN",224,2.24,"224 days shared in 2020"
"1028","NH","TX",126,1.26,"126 days shared in 2020"
"1029","NH","UT",229,2.29,"229 days shared in 2020"
"1030","NH","VA",91,0.91,"91 days shared in 2020"
