"","from","to","mask_mandates_overLap","width","title"
"118","AR","MO",101,1.01,"101 days shared in 2020"
"119","AR","MS",187,1.87,"187 days shared in 2020"
"120","AR","MT",261,2.61,"261 days shared in 2020"
"121","AR","NC",242,2.42,"242 days shared in 2020"
"122","AR","ND",149,1.49,"149 days shared in 2020"
"123","AR","NE",101,1.01,"101 days shared in 2020"
"124","AR","NH",143,1.43,"143 days shared in 2020"
"125","AR","NJ",165,1.65,"165 days shared in 2020"
"126","AR","NM",200,2,"200 days shared in 2020"
"127","AR","NV",240,2.4,"240 days shared in 2020"
"128","AR","NY",172,1.72,"172 days shared in 2020"
"129","AR","OH",263,2.63,"263 days shared in 2020"
"130","AR","OK",101,1.01,"101 days shared in 2020"
"131","AR","OR",247,2.47,"247 days shared in 2020"
"132","AR","PA",174,1.74,"174 days shared in 2020"
"133","AR","RI",193,1.93,"193 days shared in 2020"
"134","AR","SC",101,1.01,"101 days shared in 2020"
"135","AR","SD",101,1.01,"101 days shared in 2020"
"136","AR","TN",101,1.01,"101 days shared in 2020"
"137","AR","TX",249,2.49,"249 days shared in 2020"
"138","AR","UT",180,1.8,"180 days shared in 2020"
"139","AR","VA",214,2.14,"214 days shared in 2020"
"140","AR","VT",254,2.54,"254 days shared in 2020"
"141","AR","WA",242,2.42,"242 days shared in 2020"
"142","AR","WI",254,2.54,"254 days shared in 2020"
"143","AR","WV",253,2.53,"253 days shared in 2020"
"144","AR","WY",101,1.01,"101 days shared in 2020"
"145","AZ","CA",69,0.69,"69 days shared in 2020"
"146","AZ","CO",97,0.97,"97 days shared in 2020"
"147","AZ","CT",10,0.1,"10 days shared in 2020"
"148","AZ","DE",18,0.18,"18 days shared in 2020"
"149","AZ","FL",266,2.66,"266 days shared in 2020"
"150","AZ","GA",266,2.66,"266 days shared in 2020"
"151","AZ","HI",7,0.07,"7 days shared in 2020"
"152","AZ","IA",221,2.21,"221 days shared in 2020"
"153","AZ","ID",266,2.66,"266 days shared in 2020"
"154","AZ","IL",21,0.21,"21 days shared in 2020"
"155","AZ","IN",108,1.08,"108 days shared in 2020"
"156","AZ","KS",84,0.84,"84 days shared in 2020"
"157","AZ","KY",91,0.91,"91 days shared in 2020"
"158","AZ","LA",94,0.94,"94 days shared in 2020"
"159","AZ","MA",26,0.26,"26 days shared in 2020"
"160","AZ","MD",8,0.08,"8 days shared in 2020"
"161","AZ","ME",21,0.21,"21 days shared in 2020"
"162","AZ","MI",19,0.19,"19 days shared in 2020"
"163","AZ","MN",105,1.05,"105 days shared in 2020"
"164","AZ","MO",266,2.66,"266 days shared in 2020"
"165","AZ","MS",180,1.8,"180 days shared in 2020"
"166","AZ","MT",96,0.96,"96 days shared in 2020"
"167","AZ","NC",77,0.77,"77 days shared in 2020"
"168","AZ","ND",218,2.18,"218 days shared in 2020"
"169","AZ","NE",266,2.66,"266 days shared in 2020"
"170","AZ","NH",224,2.24,"224 days shared in 2020"
"171","AZ","NJ",0,0,"0 days shared in 2020"
"172","AZ","NM",35,0.35,"35 days shared in 2020"
"173","AZ","NV",75,0.75,"75 days shared in 2020"
"174","AZ","NY",7,0.07,"7 days shared in 2020"
"175","AZ","OH",104,1.04,"104 days shared in 2020"
"176","AZ","OK",266,2.66,"266 days shared in 2020"
"177","AZ","OR",82,0.82,"82 days shared in 2020"
"178","AZ","PA",9,0.09,"9 days shared in 2020"
"179","AZ","RI",28,0.28,"28 days shared in 2020"
"180","AZ","SC",266,2.66,"266 days shared in 2020"
"181","AZ","SD",266,2.66,"266 days shared in 2020"
"182","AZ","TN",266,2.66,"266 days shared in 2020"
"183","AZ","TX",84,0.84,"84 days shared in 2020"
"184","AZ","UT",187,1.87,"187 days shared in 2020"
"185","AZ","VA",49,0.49,"49 days shared in 2020"
"186","AZ","VT",113,1.13,"113 days shared in 2020"
"187","AZ","WA",77,0.77,"77 days shared in 2020"
"188","AZ","WI",113,1.13,"113 days shared in 2020"
"189","AZ","WV",88,0.88,"88 days shared in 2020"
"190","AZ","WY",266,2.66,"266 days shared in 2020"
"191","CA","CO",238,2.38,"238 days shared in 2020"
"192","CA","CT",207,2.07,"207 days shared in 2020"
"193","CA","DE",215,2.15,"215 days shared in 2020"
"194","CA","FL",69,0.69,"69 days shared in 2020"
"195","CA","GA",69,0.69,"69 days shared in 2020"
"196","CA","HI",204,2.04,"204 days shared in 2020"
"197","CA","IA",114,1.14,"114 days shared in 2020"
"198","CA","ID",69,0.69,"69 days shared in 2020"
"199","CA","IL",218,2.18,"218 days shared in 2020"
"200","CA","IN",227,2.27,"227 days shared in 2020"
"201","CA","KS",251,2.51,"251 days shared in 2020"
"202","CA","KY",244,2.44,"244 days shared in 2020"
"203","CA","LA",241,2.41,"241 days shared in 2020"
"204","CA","MA",223,2.23,"223 days shared in 2020"
"205","CA","MD",205,2.05,"205 days shared in 2020"
"206","CA","ME",218,2.18,"218 days shared in 2020"
"207","CA","MI",210,2.1,"210 days shared in 2020"
"208","CA","MN",230,2.3,"230 days shared in 2020"
"209","CA","MO",69,0.69,"69 days shared in 2020"
"210","CA","MS",155,1.55,"155 days shared in 2020"
"211","CA","MT",239,2.39,"239 days shared in 2020"
"212","CA","NC",258,2.58,"258 days shared in 2020"
"213","CA","ND",117,1.17,"117 days shared in 2020"
"214","CA","NE",69,0.69,"69 days shared in 2020"
"215","CA","NH",111,1.11,"111 days shared in 2020"
"216","CA","NJ",197,1.97,"197 days shared in 2020"
"217","CA","NM",232,2.32,"232 days shared in 2020"
"218","CA","NV",260,2.6,"260 days shared in 2020"
"219","CA","NY",204,2.04,"204 days shared in 2020"
"220","CA","OH",231,2.31,"231 days shared in 2020"
"221","CA","OK",69,0.69,"69 days shared in 2020"
"222","CA","OR",253,2.53,"253 days shared in 2020"
"223","CA","PA",206,2.06,"206 days shared in 2020"
"224","CA","RI",225,2.25,"225 days shared in 2020"
"225","CA","SC",69,0.69,"69 days shared in 2020"
"226","CA","SD",69,0.69,"69 days shared in 2020"
"227","CA","TN",69,0.69,"69 days shared in 2020"
"228","CA","TX",251,2.51,"251 days shared in 2020"
"229","CA","UT",148,1.48,"148 days shared in 2020"
"230","CA","VA",246,2.46,"246 days shared in 2020"
"231","CA","VT",222,2.22,"222 days shared in 2020"
"232","CA","WA",258,2.58,"258 days shared in 2020"
"233","CA","WI",222,2.22,"222 days shared in 2020"
"234","CA","WV",247,2.47,"247 days shared in 2020"
"235","CA","WY",69,0.69,"69 days shared in 2020"
"236","CO","CT",179,1.79,"179 days shared in 2020"
"237","CO","DE",187,1.87,"187 days shared in 2020"
"238","CO","FL",97,0.97,"97 days shared in 2020"
"239","CO","GA",97,0.97,"97 days shared in 2020"
"240","CO","HI",176,1.76,"176 days shared in 2020"
"241","CO","IA",142,1.42,"142 days shared in 2020"
"242","CO","ID",97,0.97,"97 days shared in 2020"
"243","CO","IL",190,1.9,"190 days shared in 2020"
"244","CO","IN",255,2.55,"255 days shared in 2020"
"245","CO","KS",253,2.53,"253 days shared in 2020"
"246","CO","KY",260,2.6,"260 days shared in 2020"
"247","CO","LA",263,2.63,"263 days shared in 2020"
"248","CO","MA",195,1.95,"195 days shared in 2020"
"249","CO","MD",177,1.77,"177 days shared in 2020"
"250","CO","ME",190,1.9,"190 days shared in 2020"
"251","CO","MI",182,1.82,"182 days shared in 2020"
"252","CO","MN",258,2.58,"258 days shared in 2020"
"253","CO","MO",97,0.97,"97 days shared in 2020"
"254","CO","MS",183,1.83,"183 days shared in 2020"
"255","CO","MT",265,2.65,"265 days shared in 2020"
"256","CO","NC",246,2.46,"246 days shared in 2020"
"257","CO","ND",145,1.45,"145 days shared in 2020"
"258","CO","NE",97,0.97,"97 days shared in 2020"
"259","CO","NH",139,1.39,"139 days shared in 2020"
"260","CO","NJ",169,1.69,"169 days shared in 2020"
"261","CO","NM",204,2.04,"204 days shared in 2020"
"262","CO","NV",244,2.44,"244 days shared in 2020"
"263","CO","NY",176,1.76,"176 days shared in 2020"
"264","CO","OH",259,2.59,"259 days shared in 2020"
"265","CO","OK",97,0.97,"97 days shared in 2020"
"266","CO","OR",251,2.51,"251 days shared in 2020"
"267","CO","PA",178,1.78,"178 days shared in 2020"
"268","CO","RI",197,1.97,"197 days shared in 2020"
