"","from","to","gathering_bans_overLap","width","title"
"118","AR","MO",279,2.79,"279 days shared in 2020"
"119","AR","MS",63,0.63,"63 days shared in 2020"
"120","AR","MT",201,2.01,"201 days shared in 2020"
"121","AR","NC",52,0.52,"52 days shared in 2020"
"122","AR","ND",243,2.43,"243 days shared in 2020"
"123","AR","NE",107,1.07,"107 days shared in 2020"
"124","AR","NH",264,2.64,"264 days shared in 2020"
"125","AR","NJ",58,0.58,"58 days shared in 2020"
"126","AR","NM",58,0.58,"58 days shared in 2020"
"127","AR","NV",27,0.27,"27 days shared in 2020"
"128","AR","NY",1,0.01,"1 days shared in 2020"
"129","AR","OH",54,0.54,"54 days shared in 2020"
"130","AR","OK",270,2.7,"270 days shared in 2020"
"131","AR","OR",1,0.01,"1 days shared in 2020"
"132","AR","PA",15,0.15,"15 days shared in 2020"
"133","AR","RI",64,0.64,"64 days shared in 2020"
"134","AR","SC",92,0.92,"92 days shared in 2020"
"135","AR","SD",243,2.43,"243 days shared in 2020"
"136","AR","TN",277,2.77,"277 days shared in 2020"
"137","AR","TX",60,0.6,"60 days shared in 2020"
"138","AR","UT",77,0.77,"77 days shared in 2020"
"139","AR","VA",57,0.57,"57 days shared in 2020"
"140","AR","VT",43,0.43,"43 days shared in 2020"
"141","AR","WA",2,0.02,"2 days shared in 2020"
"142","AR","WI",224,2.24,"224 days shared in 2020"
"143","AR","WV",52,0.52,"52 days shared in 2020"
"144","AR","WY",59,0.59,"59 days shared in 2020"
"145","AZ","CA",248,2.48,"248 days shared in 2020"
"146","AZ","CO",8,0.08,"8 days shared in 2020"
"147","AZ","CT",1,0.01,"1 days shared in 2020"
"148","AZ","DE",166,1.66,"166 days shared in 2020"
"149","AZ","FL",264,2.64,"264 days shared in 2020"
"150","AZ","GA",13,0.13,"13 days shared in 2020"
"151","AZ","HI",14,0.14,"14 days shared in 2020"
"152","AZ","IA",159,1.59,"159 days shared in 2020"
"153","AZ","ID",193,1.93,"193 days shared in 2020"
"154","AZ","IL",2,0.02,"2 days shared in 2020"
"155","AZ","IN",13,0.13,"13 days shared in 2020"
"156","AZ","KS",226,2.26,"226 days shared in 2020"
"157","AZ","KY",27,0.27,"27 days shared in 2020"
"158","AZ","LA",44,0.44,"44 days shared in 2020"
"159","AZ","MA",2,0.02,"2 days shared in 2020"
"160","AZ","MD",207,2.07,"207 days shared in 2020"
"161","AZ","ME",7,0.07,"7 days shared in 2020"
"162","AZ","MI",5,0.05,"5 days shared in 2020"
"163","AZ","MN",63,0.63,"63 days shared in 2020"
"164","AZ","MO",254,2.54,"254 days shared in 2020"
"165","AZ","MS",20,0.2,"20 days shared in 2020"
"166","AZ","MT",220,2.2,"220 days shared in 2020"
"167","AZ","NC",3,0.03,"3 days shared in 2020"
"168","AZ","ND",296,2.96,"296 days shared in 2020"
"169","AZ","NE",66,0.66,"66 days shared in 2020"
"170","AZ","NH",211,2.11,"211 days shared in 2020"
"171","AZ","NJ",5,0.05,"5 days shared in 2020"
"172","AZ","NM",5,0.05,"5 days shared in 2020"
"173","AZ","NV",13,0.13,"13 days shared in 2020"
"174","AZ","NY",1,0.01,"1 days shared in 2020"
"175","AZ","OH",1,0.01,"1 days shared in 2020"
"176","AZ","OK",265,2.65,"265 days shared in 2020"
"177","AZ","OR",1,0.01,"1 days shared in 2020"
"178","AZ","PA",21,0.21,"21 days shared in 2020"
"179","AZ","RI",11,0.11,"11 days shared in 2020"
"180","AZ","SC",145,1.45,"145 days shared in 2020"
"181","AZ","SD",296,2.96,"296 days shared in 2020"
"182","AZ","TN",224,2.24,"224 days shared in 2020"
"183","AZ","TX",113,1.13,"113 days shared in 2020"
"184","AZ","UT",76,0.76,"76 days shared in 2020"
"185","AZ","VA",4,0.04,"4 days shared in 2020"
"186","AZ","VT",2,0.02,"2 days shared in 2020"
"187","AZ","WA",2,0.02,"2 days shared in 2020"
"188","AZ","WI",229,2.29,"229 days shared in 2020"
"189","AZ","WV",13,0.13,"13 days shared in 2020"
"190","AZ","WY",9,0.09,"9 days shared in 2020"
"191","CA","CO",29,0.29,"29 days shared in 2020"
"192","CA","CT",22,0.22,"22 days shared in 2020"
"193","CA","DE",160,1.6,"160 days shared in 2020"
"194","CA","FL",216,2.16,"216 days shared in 2020"
"195","CA","GA",13,0.13,"13 days shared in 2020"
"196","CA","HI",14,0.14,"14 days shared in 2020"
"197","CA","IA",132,1.32,"132 days shared in 2020"
"198","CA","ID",187,1.87,"187 days shared in 2020"
"199","CA","IL",23,0.23,"23 days shared in 2020"
"200","CA","IN",61,0.61,"61 days shared in 2020"
"201","CA","KS",178,1.78,"178 days shared in 2020"
"202","CA","KY",8,0.08,"8 days shared in 2020"
"203","CA","LA",44,0.44,"44 days shared in 2020"
"204","CA","MA",50,0.5,"50 days shared in 2020"
"205","CA","MD",159,1.59,"159 days shared in 2020"
"206","CA","ME",7,0.07,"7 days shared in 2020"
"207","CA","MI",47,0.47,"47 days shared in 2020"
"208","CA","MN",84,0.84,"84 days shared in 2020"
"209","CA","MO",206,2.06,"206 days shared in 2020"
"210","CA","MS",22,0.22,"22 days shared in 2020"
"211","CA","MT",193,1.93,"193 days shared in 2020"
"212","CA","NC",3,0.03,"3 days shared in 2020"
"213","CA","ND",248,2.48,"248 days shared in 2020"
"214","CA","NE",33,0.33,"33 days shared in 2020"
"215","CA","NH",163,1.63,"163 days shared in 2020"
"216","CA","NJ",53,0.53,"53 days shared in 2020"
"217","CA","NM",5,0.05,"5 days shared in 2020"
"218","CA","NV",42,0.42,"42 days shared in 2020"
"219","CA","NY",1,0.01,"1 days shared in 2020"
"220","CA","OH",1,0.01,"1 days shared in 2020"
"221","CA","OK",217,2.17,"217 days shared in 2020"
"222","CA","OR",28,0.28,"28 days shared in 2020"
"223","CA","PA",21,0.21,"21 days shared in 2020"
"224","CA","RI",32,0.32,"32 days shared in 2020"
"225","CA","SC",145,1.45,"145 days shared in 2020"
"226","CA","SD",248,2.48,"248 days shared in 2020"
"227","CA","TN",188,1.88,"188 days shared in 2020"
